"run_id","completed","predicates","total_clusters","avg_cluster_size","biggest_cluster_size","biggest_cluster","total_donors","donor_type","total_run_time","donor_cluster_ratio","settings_file"
2,"2020-11-26 10:44:40.886474","(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",1928,"2.97354771784232",51,"unitemized:66057",15870,"CORP","26.35897397995","8.23132780082988","settings_unk"
3,"2020-11-26 10:52:05.644924","(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",1928,"2.97354771784232",51,"unitemized:66057",15870,"CORP","27.5522212982178","8.23132780082988","settings_unk"
4,"2020-11-26 11:04:51.839398","(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",1928,"2.97354771784232",51,"unitemized:66057",15870,"CORP","26.0520739555359","8.23132780082988","settings_unk"
5,"2020-11-26 11:05:23.672557","(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",1928,"2.97354771784232",51,"unitemized:66057",15870,"CORP","25.6831719875336","8.23132780082988","settings_unk"
6,"2020-11-26 11:17:23.47321","(ExistsPredicate: (Exists, zip), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonTwoTokens, name), TfidfTextCanopyPredicate: (0.8, street)) (SimplePredicate: (alphaNumericPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (3, name), SimplePredicate: (firstIntegerPredicate, name)) (SimplePredicate: (wholeFieldPredicate, street), TfidfNGramCanopyPredicate: (0.8, name)) (LevenshteinCanopyPredicate: (4, name), TfidfNGramCanopyPredicate: (0.8, street))",1955,"3.3227621483376",42,"unitemized:80898",15870,"CORP","557.38974905014","8.11764705882353","dedupe_extension/settings_0"
7,"2020-11-26 12:56:57.027681","(SimplePredicate: (commonFourGram, name), SimplePredicate: (commonIntegerPredicate, name)) (SimplePredicate: (fingerprint, name), SimplePredicate: (metaphoneToken, state)) (SimplePredicate: (sameSevenCharStartPredicate, zip), TfidfNGramCanopyPredicate: (0.6, name)) (SimplePredicate: (commonTwoTokens, city), TfidfNGramCanopyPredicate: (0.8, street))",1531,"2.93860222077074",43,"unitemized:80898",15870,"CORP","27.4943788051605","10.365774003919","settings_bad"
8,"2020-11-26 13:30:37.185452","(SimplePredicate: (doubleMetaphone, state), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (firstIntegerPredicate, zip)) (SimplePredicate: (doubleMetaphone, name), TfidfNGramCanopyPredicate: (0.6, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (firstIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.4, name))",1973,"3.35833755701977",53,"friends of assemblyman tedisco:71158",15870,"CORP","1902.83414196968","8.04358844399392","dedupe_extension/settings_2"
9,"2020-11-26 14:10:48.821022","(ExistsPredicate: (Exists, city), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (sortedAcronym, city)) (SimplePredicate: (sortedAcronym, street), TfidfNGramCanopyPredicate: (0.8, name))",4209,"3.63459253979568",81,"unitemized:152684",30498,"CORP","1586.0454120636","7.24590163934426","dedupe_extension/settings_3"
10,"2020-11-27 11:04:01.639993","(ExistsPredicate: (Exists, city), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (sortedAcronym, city)) (SimplePredicate: (sortedAcronym, street), TfidfNGramCanopyPredicate: (0.8, name))",10272,"4.10552959501558",184,"unitemized",70400,"CORP","","6.85358255451713","dedupe_extension/settings_3"
11,"2020-11-27 12:52:09.703191","(SimplePredicate: (sameSevenCharStartPredicate, name), SimplePredicate: (tokenFieldPredicate, name)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (4, street), SimplePredicate: (commonIntegerPredicate, city)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street))",4152,"3.61151252408478",114,"unitemized unitemized:124639",30526,"CORP","2677.99557709694","7.35211946050096","dedupe_extension/settings_4"
12,"2020-11-29 12:14:30.756761","(ExistsPredicate: (Exists, zip), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonTwoTokens, name), TfidfTextCanopyPredicate: (0.8, street)) (SimplePredicate: (alphaNumericPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (3, name), SimplePredicate: (firstIntegerPredicate, name)) (SimplePredicate: (wholeFieldPredicate, street), TfidfNGramCanopyPredicate: (0.8, name)) (LevenshteinCanopyPredicate: (4, name), TfidfNGramCanopyPredicate: (0.8, street))",4094,"3.64533463605276",73,"unitemized:124539",30516,"CORP","1204.67236304283","7.45383488031265","dedupe_extension/settings_0"
13,"2020-11-29 12:15:31.475973","(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",4135,"3.21789600967352",92,"unitemized:124539",30516,"CORP","60.6739499568939","7.37992744860943","dedupe_extension/settings_1"
14,"2020-11-29 12:17:25.939483","(SimplePredicate: (doubleMetaphone, state), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (firstIntegerPredicate, zip)) (SimplePredicate: (doubleMetaphone, name), TfidfNGramCanopyPredicate: (0.6, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (firstIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.4, name))",4189,"3.64526139890189",83,"unitemized:124539",30516,"CORP","114.452932834625","7.28479350680353","dedupe_extension/settings_2"
15,"2020-11-29 12:19:16.312908","(ExistsPredicate: (Exists, city), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (sortedAcronym, city)) (SimplePredicate: (sortedAcronym, street), TfidfNGramCanopyPredicate: (0.8, name))",4172,"3.65268456375839",75,"unitemized:124539",30516,"CORP","110.346118211746","7.31447746883989","dedupe_extension/settings_3"
16,"2020-11-29 12:36:05.004903","(SimplePredicate: (sameSevenCharStartPredicate, name), SimplePredicate: (tokenFieldPredicate, name)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (4, street), SimplePredicate: (commonIntegerPredicate, city)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street))",4108,"3.63461538461538",97,"unitemized:124539",30516,"CORP","1008.66210818291","7.4284323271665","dedupe_extension/settings_4"
17,"2020-11-29 13:34:15.871445","(ExistsPredicate: (Exists, zip), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonTwoTokens, name), TfidfTextCanopyPredicate: (0.8, street)) (SimplePredicate: (alphaNumericPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (3, name), SimplePredicate: (firstIntegerPredicate, name)) (SimplePredicate: (wholeFieldPredicate, street), TfidfNGramCanopyPredicate: (0.8, name)) (LevenshteinCanopyPredicate: (4, name), TfidfNGramCanopyPredicate: (0.8, street))",8275,"3.9590332326284",141,"unitemized:281958",57603,"CORP","3367.89836215973","6.96108761329305","dedupe_extension/settings_0"
18,"2020-11-29 13:36:39.089738","(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",8635,"3.42269832078749",171,"unitemized unitemized:227955",57603,"CORP","143.204981088638","6.67087434858136","dedupe_extension/settings_1"
19,"2020-11-29 13:49:13.005316","(SimplePredicate: (doubleMetaphone, state), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (firstIntegerPredicate, zip)) (SimplePredicate: (doubleMetaphone, name), TfidfNGramCanopyPredicate: (0.6, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (firstIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.4, name))",8306,"4.00866843245846",172,"unitemized unitemized:227955",57603,"CORP","753.90216088295","6.93510715145678","dedupe_extension/settings_2"
20,"2020-11-29 14:02:56.224394","(ExistsPredicate: (Exists, city), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (sortedAcronym, city)) (SimplePredicate: (sortedAcronym, street), TfidfNGramCanopyPredicate: (0.8, name))",8355,"3.98144823459007",157,"unitemized:281959",57603,"CORP","823.206980228424","6.89443447037702","dedupe_extension/settings_3"
21,"2020-11-29 14:44:48.70081","(SimplePredicate: (sameSevenCharStartPredicate, name), SimplePredicate: (tokenFieldPredicate, name)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (4, street), SimplePredicate: (commonIntegerPredicate, city)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street))",8286,"3.94931209268646",199,"unitemized unitemized:227955",57603,"CORP","2512.46555709839","6.95184648805214","dedupe_extension/settings_4"
22,"2020-11-29 16:36:57.215497","(ExistsPredicate: (Exists, zip), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonTwoTokens, name), TfidfTextCanopyPredicate: (0.8, street)) (SimplePredicate: (alphaNumericPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (3, name), SimplePredicate: (firstIntegerPredicate, name)) (SimplePredicate: (wholeFieldPredicate, street), TfidfNGramCanopyPredicate: (0.8, name)) (LevenshteinCanopyPredicate: (4, name), TfidfNGramCanopyPredicate: (0.8, street))",12144,"4.17901844532279",196,"unitemized:396629",82661,"CORP","6591.08013272285","6.80673583662714","dedupe_extension/settings_0"
