run_id,completed,predicates,total_clusters,avg_cluster_size,biggest_cluster_size,biggest_cluster,total_donors,donor_type,total_run_time,donor_cluster_ratio,settings_file,processing,settings_file_proc
38,12/2/20 15:00,"(LevenshteinCanopyPredicate: (1, name), SimplePredicate: (sameThreeCharStartPredicate, street)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.6, zip)) (SimplePredicate: (commonSixGram, zip), SimplePredicate: (fingerprint, name))",2770,2.102527076,9,joni yoswein:31166,65753,IND,10.04589105,23.73754513,dedupe_extension/settings_IND_0,0,settings_IND_0
39,12/2/20 16:02,"(LevenshteinCanopyPredicate: (2, name), LevenshteinCanopyPredicate: (3, street)) (SimplePredicate: (commonTwoTokens, city), SimplePredicate: (commonTwoTokens, name)) (SimplePredicate: (suffixArray, street), TfidfTextCanopyPredicate: (0.8, name)) (SimplePredicate: (commonTwoTokens, name), TfidfNGramCanopyPredicate: (0.8, name)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.8, street)) (SimplePredicate: (commonThreeTokens, name), SimplePredicate: (oneGramFingerprint, state)) (LevenshteinCanopyPredicate: (2, name), SimplePredicate: (doubleMetaphone, street))",8129,2.171238775,18,john lesueur:55874,123946,IND,3074.409347,15.2473859,dedupe_extension/settings_IND_1,0,settings_IND_1
40,12/2/20 16:38,"(SimplePredicate: (commonTwoTokens, name), SimplePredicate: (commonTwoTokens, street)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.4, zip)) (ExistsPredicate: (Exists, state), SimplePredicate: (commonIntegerPredicate, name)) (LevenshteinCanopyPredicate: (1, state), SimplePredicate: (commonThreeTokens, name)) (SimplePredicate: (fingerprint, name), TfidfNGramCanopyPredicate: (0.8, street))",2572,2.083981337,7,joni yoswein:31013,65617,IND,1773.693557,25.51205288,dedupe_extension/settings_IND_2,0,settings_IND_2
41,12/2/20 17:34,"(LevenshteinCanopyPredicate: (1, name), SimplePredicate: (sortedAcronym, street)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.6, state)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.8, street)) (SimplePredicate: (hundredIntegersOddPredicate, name), TfidfTextCanopyPredicate: (0.6, name)) (TfidfNGramCanopyPredicate: (0.6, street), TfidfNGramCanopyPredicate: (0.8, name))",6931,2.128552878,8,allison lee:2724,124045,IND,3044.835579,17.89712884,dedupe_extension/settings_IND_3,0,settings_IND_3
42,12/2/20 18:38,"(SimplePredicate: (doubleMetaphone, name), SimplePredicate: (oneGramFingerprint, zip)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, name))",8317,2.18708669,16,andrew roffe:4015,123857,IND,2129.91823,14.89202838,dedupe_extension/settings_IND_4,0,settings_IND_4
68,12/3/20 8:34,"(LevenshteinCanopyPredicate: (1, name), SimplePredicate: (sameThreeCharStartPredicate, street)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.6, zip)) (SimplePredicate: (commonSixGram, zip), SimplePredicate: (fingerprint, name))",7840,2.173341837,14,brian meara:11775,123946,IND,20.70010996,15.80943878,dedupe_extension/settings_IND_0,0,settings_IND_0
69,12/3/20 8:56,"(LevenshteinCanopyPredicate: (2, name), LevenshteinCanopyPredicate: (3, street)) (SimplePredicate: (commonTwoTokens, city), SimplePredicate: (commonTwoTokens, name)) (SimplePredicate: (suffixArray, street), TfidfTextCanopyPredicate: (0.8, name)) (SimplePredicate: (commonTwoTokens, name), TfidfNGramCanopyPredicate: (0.8, name)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.8, street)) (SimplePredicate: (commonThreeTokens, name), SimplePredicate: (oneGramFingerprint, state)) (LevenshteinCanopyPredicate: (2, name), SimplePredicate: (doubleMetaphone, street))",8112,2.170364892,18,john lesueur:55874,123946,IND,1342.697703,15.27933925,dedupe_extension/settings_IND_1,0,settings_IND_1
70,12/3/20 8:58,"(SimplePredicate: (commonTwoTokens, name), SimplePredicate: (commonTwoTokens, street)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.4, zip)) (ExistsPredicate: (Exists, state), SimplePredicate: (commonIntegerPredicate, name)) (LevenshteinCanopyPredicate: (1, state), SimplePredicate: (commonThreeTokens, name)) (SimplePredicate: (fingerprint, name), TfidfNGramCanopyPredicate: (0.8, street))",7580,2.151319261,10,andrew roffe:4038,123946,IND,102.718462,16.35171504,dedupe_extension/settings_IND_2,0,settings_IND_2
71,12/3/20 9:03,"(LevenshteinCanopyPredicate: (1, name), SimplePredicate: (sortedAcronym, street)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.6, state)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.8, street)) (SimplePredicate: (hundredIntegersOddPredicate, name), TfidfTextCanopyPredicate: (0.6, name)) (TfidfNGramCanopyPredicate: (0.6, street), TfidfNGramCanopyPredicate: (0.8, name))",6864,2.144667832,11,brian meara:11775,123946,IND,290.7680662,18.05740093,dedupe_extension/settings_IND_3,0,settings_IND_3
72,12/3/20 9:06,"(SimplePredicate: (doubleMetaphone, name), SimplePredicate: (oneGramFingerprint, zip)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, name))",8376,2.183858644,11,hormos mansouri:43818,123946,IND,201.9988689,14.79775549,dedupe_extension/settings_IND_4,0,settings_IND_4
73,12/3/20 9:07,"(LevenshteinCanopyPredicate: (1, name), SimplePredicate: (sameThreeCharStartPredicate, street)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.6, zip)) (SimplePredicate: (commonSixGram, zip), SimplePredicate: (fingerprint, name))",20016,2.256544764,15,lloyd douglas:131067,226790,IND,34.42630601,11.33043565,dedupe_extension/settings_IND_0,0,settings_IND_0
74,12/3/20 9:57,"(LevenshteinCanopyPredicate: (2, name), LevenshteinCanopyPredicate: (3, street)) (SimplePredicate: (commonTwoTokens, city), SimplePredicate: (commonTwoTokens, name)) (SimplePredicate: (suffixArray, street), TfidfTextCanopyPredicate: (0.8, name)) (SimplePredicate: (commonTwoTokens, name), TfidfNGramCanopyPredicate: (0.8, name)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.8, street)) (SimplePredicate: (commonThreeTokens, name), SimplePredicate: (oneGramFingerprint, state)) (LevenshteinCanopyPredicate: (2, name), SimplePredicate: (doubleMetaphone, street))",20280,2.239792899,16,andrew roffe:7606,226790,IND,2977.006748,11.18293886,dedupe_extension/settings_IND_1,0,settings_IND_1
75,12/3/20 10:01,"(SimplePredicate: (commonTwoTokens, name), SimplePredicate: (commonTwoTokens, street)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.4, zip)) (ExistsPredicate: (Exists, state), SimplePredicate: (commonIntegerPredicate, name)) (LevenshteinCanopyPredicate: (1, state), SimplePredicate: (commonThreeTokens, name)) (SimplePredicate: (fingerprint, name), TfidfNGramCanopyPredicate: (0.8, street))",19475,2.222490372,15,elizabeth shollenberger:59590,226790,IND,276.0313852,11.64518614,dedupe_extension/settings_IND_2,0,settings_IND_2
76,12/3/20 10:14,"(LevenshteinCanopyPredicate: (1, name), SimplePredicate: (sortedAcronym, street)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.6, state)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.8, street)) (SimplePredicate: (hundredIntegersOddPredicate, name), TfidfTextCanopyPredicate: (0.6, name)) (TfidfNGramCanopyPredicate: (0.6, street), TfidfNGramCanopyPredicate: (0.8, name))",17984,2.207962633,12,andrew roffe:7608,226790,IND,796.2391651,12.61065391,dedupe_extension/settings_IND_3,0,settings_IND_3
77,12/3/20 10:23,"(SimplePredicate: (doubleMetaphone, name), SimplePredicate: (oneGramFingerprint, zip)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, name))",21237,2.280689363,17,andrew roffe:7606,226790,IND,526.132282,10.67900363,dedupe_extension/settings_IND_4,0,settings_IND_4
