"run_id","completed","predicates","total_clusters","avg_cluster_size","biggest_cluster_size","biggest_cluster","total_donors","donor_type","total_run_time","donor_cluster_ratio","settings_file"
37,"2020-12-02 12:15:42.277501","(SimplePredicate: (sameSevenCharStartPredicate, name), SimplePredicate: (tokenFieldPredicate, name)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (4, street), SimplePredicate: (commonIntegerPredicate, city)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street))",18000,"2.67711111111111",365,"michael accocella:81383",124476,"IND","7886.49899697304","6.91533333333333","settings_4"
38,"2020-12-02 15:00:02.200298","(LevenshteinCanopyPredicate: (1, name), SimplePredicate: (sameThreeCharStartPredicate, street)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.6, zip)) (SimplePredicate: (commonSixGram, zip), SimplePredicate: (fingerprint, name))",2770,"2.10252707581227",9,"joni yoswein:31166",65753,"IND","10.045891046524","23.7375451263538","dedupe_extension/settings_IND_0"
39,"2020-12-02 16:02:03.443525","(LevenshteinCanopyPredicate: (2, name), LevenshteinCanopyPredicate: (3, street)) (SimplePredicate: (commonTwoTokens, city), SimplePredicate: (commonTwoTokens, name)) (SimplePredicate: (suffixArray, street), TfidfTextCanopyPredicate: (0.8, name)) (SimplePredicate: (commonTwoTokens, name), TfidfNGramCanopyPredicate: (0.8, name)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.8, street)) (SimplePredicate: (commonThreeTokens, name), SimplePredicate: (oneGramFingerprint, state)) (LevenshteinCanopyPredicate: (2, name), SimplePredicate: (doubleMetaphone, street))",8129,"2.17123877475704",18,"john lesueur:55874",123946,"IND","3074.40934705734","15.247385902325","dedupe_extension/settings_IND_1"
40,"2020-12-02 16:38:33.124129","(SimplePredicate: (commonTwoTokens, name), SimplePredicate: (commonTwoTokens, street)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.4, zip)) (ExistsPredicate: (Exists, state), SimplePredicate: (commonIntegerPredicate, name)) (LevenshteinCanopyPredicate: (1, state), SimplePredicate: (commonThreeTokens, name)) (SimplePredicate: (fingerprint, name), TfidfNGramCanopyPredicate: (0.8, street))",2572,"2.08398133748056",7,"joni yoswein:31013",65617,"IND","1773.693557024","25.5120528771384","dedupe_extension/settings_IND_2"
41,"2020-12-02 17:34:53.254289","(LevenshteinCanopyPredicate: (1, name), SimplePredicate: (sortedAcronym, street)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.6, state)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.8, street)) (SimplePredicate: (hundredIntegersOddPredicate, name), TfidfTextCanopyPredicate: (0.6, name)) (TfidfNGramCanopyPredicate: (0.6, street), TfidfNGramCanopyPredicate: (0.8, name))",6931,"2.12855287837253",8,"allison lee:2724",124045,"IND","3044.83557891846","17.897128841437","dedupe_extension/settings_IND_3"
42,"2020-12-02 18:38:49.656527","(SimplePredicate: (doubleMetaphone, name), SimplePredicate: (oneGramFingerprint, zip)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, name))",8317,"2.18708668991223",16,"andrew roffe:4015",123857,"IND","2129.91823005676","14.8920283756162","dedupe_extension/settings_IND_4"
68,"2020-12-03 08:34:04.345475","(LevenshteinCanopyPredicate: (1, name), SimplePredicate: (sameThreeCharStartPredicate, street)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.6, zip)) (SimplePredicate: (commonSixGram, zip), SimplePredicate: (fingerprint, name))",7840,"2.17334183673469",14,"brian meara:11775",123946,"IND","20.7001099586487","15.8094387755102","dedupe_extension/settings_IND_0"
69,"2020-12-03 08:56:27.051927","(LevenshteinCanopyPredicate: (2, name), LevenshteinCanopyPredicate: (3, street)) (SimplePredicate: (commonTwoTokens, city), SimplePredicate: (commonTwoTokens, name)) (SimplePredicate: (suffixArray, street), TfidfTextCanopyPredicate: (0.8, name)) (SimplePredicate: (commonTwoTokens, name), TfidfNGramCanopyPredicate: (0.8, name)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.8, street)) (SimplePredicate: (commonThreeTokens, name), SimplePredicate: (oneGramFingerprint, state)) (LevenshteinCanopyPredicate: (2, name), SimplePredicate: (doubleMetaphone, street))",8112,"2.17036489151874",18,"john lesueur:55874",123946,"IND","1342.69770312309","15.2793392504931","dedupe_extension/settings_IND_1"
70,"2020-12-03 08:58:09.78222","(SimplePredicate: (commonTwoTokens, name), SimplePredicate: (commonTwoTokens, street)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.4, zip)) (ExistsPredicate: (Exists, state), SimplePredicate: (commonIntegerPredicate, name)) (LevenshteinCanopyPredicate: (1, state), SimplePredicate: (commonThreeTokens, name)) (SimplePredicate: (fingerprint, name), TfidfNGramCanopyPredicate: (0.8, street))",7580,"2.15131926121372",10,"andrew roffe:4038",123946,"IND","102.718461990356","16.3517150395778","dedupe_extension/settings_IND_2"
71,"2020-12-03 09:03:00.563206","(LevenshteinCanopyPredicate: (1, name), SimplePredicate: (sortedAcronym, street)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.6, state)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.8, street)) (SimplePredicate: (hundredIntegersOddPredicate, name), TfidfTextCanopyPredicate: (0.6, name)) (TfidfNGramCanopyPredicate: (0.6, street), TfidfNGramCanopyPredicate: (0.8, name))",6864,"2.14466783216783",11,"brian meara:11775",123946,"IND","290.768066167831","18.0574009324009","dedupe_extension/settings_IND_3"
