run_id,completed,predicates,total_clusters,avg_cluster_size,biggest_cluster_size,biggest_cluster,total_donors,donor_type,total_run_time,donor_cluster_ratio,settings_file
2,44:40.9,"(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",1928,2.973547718,51,unitemized:66057,15870,CORP,26.35897398,8.231327801,
3,52:05.6,"(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",1928,2.973547718,51,unitemized:66057,15870,CORP,27.5522213,8.231327801,
4,04:51.8,"(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",1928,2.973547718,51,unitemized:66057,15870,CORP,26.05207396,8.231327801,
5,05:23.7,"(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",1928,2.973547718,51,unitemized:66057,15870,CORP,25.68317199,8.231327801,
6,17:23.5,"(ExistsPredicate: (Exists, zip), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonTwoTokens, name), TfidfTextCanopyPredicate: (0.8, street)) (SimplePredicate: (alphaNumericPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (3, name), SimplePredicate: (firstIntegerPredicate, name)) (SimplePredicate: (wholeFieldPredicate, street), TfidfNGramCanopyPredicate: (0.8, name)) (LevenshteinCanopyPredicate: (4, name), TfidfNGramCanopyPredicate: (0.8, street))",1955,3.322762148,42,unitemized:80898,15870,CORP,557.3897491,8.117647059,
7,56:57.0,"(SimplePredicate: (commonFourGram, name), SimplePredicate: (commonIntegerPredicate, name)) (SimplePredicate: (fingerprint, name), SimplePredicate: (metaphoneToken, state)) (SimplePredicate: (sameSevenCharStartPredicate, zip), TfidfNGramCanopyPredicate: (0.6, name)) (SimplePredicate: (commonTwoTokens, city), TfidfNGramCanopyPredicate: (0.8, street))",1531,2.938602221,43,unitemized:80898,15870,CORP,27.49437881,10.365774,
8,30:37.2,"(SimplePredicate: (doubleMetaphone, state), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (firstIntegerPredicate, zip)) (SimplePredicate: (doubleMetaphone, name), TfidfNGramCanopyPredicate: (0.6, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (firstIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.4, name))",1973,3.358337557,53,friends of assemblyman tedisco:71158,15870,CORP,1902.834142,8.043588444,
9,10:48.8,"(ExistsPredicate: (Exists, city), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (sortedAcronym, city)) (SimplePredicate: (sortedAcronym, street), TfidfNGramCanopyPredicate: (0.8, name))",4209,3.63459254,81,unitemized:152684,30498,CORP,1586.045412,7.245901639,
10,04:01.6,"(ExistsPredicate: (Exists, city), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (sortedAcronym, city)) (SimplePredicate: (sortedAcronym, street), TfidfNGramCanopyPredicate: (0.8, name))",10272,4.105529595,184,unitemized,70400,CORP,,6.853582555,
11,52:09.7,"(SimplePredicate: (sameSevenCharStartPredicate, name), SimplePredicate: (tokenFieldPredicate, name)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (4, street), SimplePredicate: (commonIntegerPredicate, city)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street))",4152,3.611512524,114,unitemized unitemized:124639,30526,CORP,2677.995577,7.352119461,
