"cluster_size","cluster_id"
"1",483162
"3",483163
"1",483164
"1",483165
"1",483166
"1",483167
"2",483168
"1",483169
"1",483170
"2",483171
"6",483172
"6",483173
"2",483174
"2",483175
"8",483177
"8",483180
"16",483181
"1",483182
"1",483183
"1",483184
"1",483185
"1",483186
"6",483187
"1",483188
"1",483189
"96",483190
"1",483191
"1",483192
"1",483193
"1",483194
"1",483195
"1",483196
"1",483197
"41",483198
"11",483199
"2",483200
"2",483201
"1",483202
"1",483203
"2",483204
"3",483205
"3",483206
"16",483207
"1",483208
"1",483209
"10",483210
"1",483211
"1",483212
"6",483213
"1",483214
"1",483215
"2",483216
"2",483217
"1",483218
"1",483219
"11",483220
"2",483224
"1",483225
"2",483226
"14",483227
"2",483228
"16",483229
"77",483230
"1",483231
"1",483232
"17",483233
"2",483234
"2",483235
"2",483236
"2",483237
"3",483239
"20",483240
"2",483241
"1",483243
"1",483244
"1",483245
"3",483246
"1",483247
"1",483248
"1",483249
"1",483250
"1",483251
"4",483252
"6",483253
"1",483254
"1",483255
"1",483256
"4",483257
"5",483258
"3",483259
"9",483260
"1",483261
"1",483262
"1",483263
"1",483264
"3",483265
"1",483266
"1",483267
"1",483268
"1",483269
"4",483270
"1",483271
"1",483272
"1",483273
"1",483274
"1",483275
"2",483276
"1",483277
"1",483278
"1",483279
"3",483280
"2",483281
"4",483282
"10",483283
"1",483284
"5",483285
"2",483286
"1",483287
"1",483288
"1",483289
"1",483290
"49",483291
"13",483292
"8",483293
"1",483294
"1",483295
"7",483296
"1",483297
"1",483298
"1",483299
"1",483300
"4",483301
"2",483302
"1",483303
"5",483304
"1",483305
"1",483306
"3",483307
"2",483308
"1",483309
"1",483310
"1",483311
"1",483312
"1",483313
"2",483314
"1",483315
"1",483316
"1",483317
"1",483318
"1",483319
"1",483320
"2",483321
"1",483322
"97",483323
"2",483326
"1",483327
"2",483328
"5",483329
"4",483330
"1",483331
"2",483332
"1",483333
"1",483334
"1",483335
"1",483336
"1",483337
"1",483338
"1",483339
"3",483340
"3",483341
"1",483342
"1",483343
"3",483344
"4",483345
"6",483346
"1",483347
"1",483348
"3",483349
"1",483350
"1",483351
"1",483352
"1",483353
"1",483354
"9",483355
"1",483359
"1",483360
"1",483361
"1",483362
"1",483363
"1",483364
"1",483365
"5",483366
"1",483367
"2",483368
"1",483369
"1",483370
"2",483371
"1",483372
"5",483373
"1",483374
"1",483375
"1",483376
"4",483377
"3",483380
"2",483381
"14",483383
"1",483384
"2",483385
"4",483386
"1",483387
"1",483388
"1",483389
"4",483390
"5",483391
"1",483392
"20",483393
"2",483394
"1",483395
"19",483396
"1",483397
"3",483398
"7",483399
"4",483400
"2",483401
"2",483402
"34",483403
"28",483404
"98",483405
"1",483406
"37",483407
"4",483408
"6",483409
"1",483410
"1",483411
"3",483412
"2",483413
"23",483414
"1",483415
"1",483416
"1",483417
"1",483418
"1",483419
"1",483420
"2",483421
"1",483422
"1",483423
"15",483424
"2",483425
"87",483426
"2",483427
"1",483428
"1",483429
"1",483430
"2",483431
"1",483432
"7",483433
"5",483434
"1",483435
"1",483436
"1",483437
"10",483438
"1",483439
"2",483440
"1",483441
"1",483442
"6",483443
"1",483444
"1",483445
"4",483446
"3",483447
"1",483448
"1",483449
"3",483450
"12",483452
"15",483453
"28",483454
"2",483455
"1",483456
"1",483457
"5",483458
"1",483459
"5",483460
"1",483461
"1",483462
"1",483463
"2",483464
"2",483465
"1",483466
"1",483467
"1",483468
"66",483469
"1",483470
"66",483471
"1",483472
"1",483473
"2",483474
"1",483475
"1",483476
"1",483477
"1",483478
"1",483479
"1",483480
"5",483481
"32",483482
"6",483483
"1",483484
"1",483485
"1",483486
"2",483487
"1",483488
"16",483489
"3",483490
"1",483491
"1",483492
"1",483493
"6",483494
"1",483495
"2",483496
"7",483497
"3",483498
"1",483499
"2",483500
"2",483502
"3",483504
"1",483505
"2",483506
"382",483507
"5",483512
"1",483513
"1",483514
"32",483515
"1",483518
"5",483519
"2",483520
"1",483521
"3",483522
"1",483523
"1",483524
"2",483525
"25",483526
"1",483527
"6",483528
"6",483529
"1",483530
"1",483531
"1",483532
"1",483533
"3",483534
"1",483535
"1",483536
"8",483537
"1",483538
"1",483539
"1",483540
"1",483541
"1",483542
"1",483543
"1",483544
"2",483545
"2",483546
"3",483547
"1",483548
"1",483550
"1",483551
"67",483552
"1",483553
"1",483554
"1",483555
"3",483556
"1",483557
"1",483558
"1",483559
"1",483560
"2",483561
"10",483562
"3",483563
"1",483566
"1",483567
"3",483568
"1",483571
"1",483572
"9",483573
"1",483575
"1",483576
"1",483577
"1",483578
"1",483579
"1",483580
"1",483581
"1",483582
"1",483583
"1",483584
"4",483585
"1",483589
"1",483590
"1",483591
"1",483592
"1",483593
"1",483594
"1",483595
"1",483596
"1",483597
"2",483598
"2",483600
"1",483602
"1",483603
"1",483604
"1",483605
"1",483606
"1",483607
"1",483608
"2",483609
"1",483611
"1",483612
"1",483613
"2",483614
"1",483616
"7",483617
"1",483624
"1",483625
"1",483626
"1",483627
"1",483628
"1",483629
"1",483630
"1",483631
"1",483632
"1",483633
"1",483634
"1",483635
"1",483636
"2",483637
"2",483638
"8",483640
"3",483648
"2",483651
"1",483652
"1",483653
"1",483654
"1",483655
"1",483656
"3",483657
"1",483660
"1",483661
"1",483662
"1",483663
"1",483664
"9",483665
"1",483674
"1",483675
"1",483676
"1",483677
"1",483678
"1",483679
"3",483680
"1",483683
"1",483684
"1",483685
"1",483686
"1",483687
"1",483688
"1",483689
"1",483690
"3",483691
"1",483694
"1",483695
"1",483696
"1",483697
"1",483698
"1",483699
"1",483700
"1",483701
"1",483702
"1",483703
"1",483704
"1",483705
"1",483706
"1",483707
"1",483708
"1",483709
"2",483710
"2",483712
"2",483714
"1",483716
"1",483717
"1",483718
"1",483719
"1",483720
"1",483721
"1",483722
"1",483723
"1",483724
"1",483725
"65",483726
"8",483727
"1",483731
"1",483732
"1",483733
"1",483734
"2",483735
"80",483747
"9",483778
"1",483779
"1",483845
"1",483854
"2",483883
"1",483887
"1",483890
"1",483901
"1",483902
"2",483903
"1",483905
"1",483906
"1",483907
"1",483908
"1",483909
"1",483910
"1",483911
"1",483912
"2",483913
"1",483914
"2",483915
"1",483917
"1",483918
"1",483919
"1",483920
"1",483921
"2",483922
"1",483924
"1",483925
"1",483926
"1",483927
"2",483928
"1",483930
"1",483931
"1",483932
"4",483933
"1",483934
"2",483935
"1",483937
"1",483938
"1",483939
"1",483940
"1",483941
"1",483942
"1",483943
"1",483944
"1",483945
"2",483946
"4",483948
"1",483952
"2",483953
"1",483955
"1",483956
"1",483957
"1",483958
"1",483959
"4",483960
"3",483964
"1",483965
"1",483966
"5",483967
"1",483972
"1",483973
"1",483974
"1",483975
"1",483976
"1",483977
"1",483978
"1",483979
"1",483980
"2",483981
"1",483983
"2",483984
"1",483986
"1",483987
"6",483988
"1",483989
"5",483990
"1",483995
"1",483996
"2",483997
"1",483998
"1",484000
"1",484001
"1",484002
"1",484003
"1",484004
"1",484005
"1",484006
"1",484007
"1",484008
"1",484009
"3",484010
"1",484013
"4",484014
"1",484016
"8",484017
"1",484018
"1",484019
"1",484020
"1",484023
"1",484024
"2",484025
"5",484027
"1",484032
"1",484033
"2",484034
"1",484036
"1",484037
"1",484038
"1",484039
"1",484040
"1",484041
"1",484044
"1",484045
"1",484046
"1",484047
"1",484048
"2",484049
"1",484051
"1",484052
"20",484053
"1",484054
"1",484055
"1",484056
"2",484057
"1",484059
"1",484060
"1",484061
"1",484062
"1",484063
"7",484064
"1",484071
"1",484072
"1",484073
"1",484074
"1",484075
"3",484076
"1",484079
"3",484080
"1",484083
"1",484084
"1",484085
"1",484086
"1",484087
"1",484088
"1",484089
"1",484090
"1",484091
"1",484092
"1",484093
"2",484094
"1",484096
"1",484097
"2",484098
"1",484101
"1",484104
"1",484105
"1",484106
"1",484107
"1",484108
"1",484109
"1",484110
"1",484112
"2",484113
"1",484115
"1",484116
"1",484117
"1",484118
"1",484119
"1",484120
"1",484121
"1",484122
"1",484123
"1",484124
"1",484125
"1",484126
"1",484127
"1",484128
"1",484129
"1",484130
"1",484131
"1",484133
"1",484134
"3",484135
"1",484138
"1",484139
"1",484140
"2",484141
"2",484143
"1",484146
"1",484147
"1",484148
"1",484149
"1",484150
"1",484151
"1",484152
"1",484153
"1",484154
"1",484155
"6",484156
"1",484162
"6",484163
"1",484169
"1",484170
"2",484171
"1",484173
"2",484174
"1",484176
"1",484177
"1",484179
"1",484180
"1",484182
"1",484183
"1",484184
"1",484185
"1",484186
"3",484187
"4",484190
"1",484194
"1",484195
"1",484196
"1",484197
"1",484198
"1",484199
"1",484200
"1",484201
"1",484202
"1",484203
"1",484204
"1",484205
"1",484206
"1",484207
"4",484208
"1",484212
"1",484213
"1",484214
"1",484215
"1",484216
"1",484217
"1",484218
"1",484219
"2",484220
"2",484222
"1",484224
"2",484225
"1",484227
"4",484228
"1",484232
"1",484233
"1",484234
"1",484235
"2",484236
"2",484245
"3",484247
"1",484250
"1",484251
"2",484252
"1",484254
"1",484255
"1",484256
"1",484257
"1",484258
"1",484259
"1",484260
"1",484261
"1",484262
"1",484263
"2",484264
"1",484266
"1",484267
"1",484268
"1",484269
"1",484270
"1",484271
"1",484272
"1",484273
"2",484274
"1",484276
"1",484277
"1",484278
"2",484280
"1",484282
"2",484283
"5",484286
"1",484291
"1",484292
"1",484293
"1",484294
"3",484295
"3",484298
"2",484301
"1",484302
"1",484303
"1",484304
"1",484305
"1",484306
"1",484307
"2",484308
"1",484310
"1",484311
"1",484312
"1",484313
"1",484314
"1",484315
"2",484316
"1",484317
"1",484318
"1",484319
"1",484320
"1",484321
"11",484322
"2",484323
"1",484325
"3",484326
"1",484329
"1",484330
"1",484334
"1",484335
"1",484336
"1",484337
"1",484338
"1",484339
"2",484340
"2",484342
"1",484344
"2",484345
"1",484346
"1",484347
"2",484348
"1",484350
"1",484351
"5",484352
"2",484353
"1",484355
"1",484356
"1",484357
"1",484358
"1",484359
"3",484360
"1",484362
"2",484363
"3",484366
"1",484369
"2",484370
"1",484372
"1",484373
"1",484374
"1",484376
"2",484377
"1",484379
"1",484380
"1",484381
"1",484382
"2",484383
"1",484386
"1",484387
"1",484388
"1",484390
"1",484392
"1",484393
"1",484394
"1",484395
"1",484396
"6",484397
"2",484398
"2",484400
"1",484401
"1",484402
"1",484403
"1",484404
"1",484405
"3",484407
"2",484411
"1",484413
"1",484414
"1",484415
"1",484416
"2",484417
"1",484419
"1",484420
"1",484421
"1",484422
"1",484425
"1",484430
"1",484431
"1",484432
"1",484433
"1",484434
"1",484435
"1",484436
"1",484437
"1",484438
"1",484439
"1",484440
"1",484441
"1",484443
"1",484444
"1",484445
"1",484446
"1",484447
"1",484448
"1",484449
"3",484450
"1",484454
"2",484455
"1",484457
"16",484458
"2",484474
"1",484476
"1",484477
"1",484478
"1",484479
"1",484480
"1",484481
"1",484482
"1",484483
"1",484484
"1",484485
"1",484486
"7",484487
"1",484490
"1",484491
"1",484492
"1",484493
"1",484494
"1",484495
"2",484496
"1",484497
"1",484499
"1",484500
"1",484501
"1",484502
"1",484503
"3",484504
"2",484505
"1",484507
"2",484508
"1",484510
"1",484511
"2",484512
"1",484515
"1",484516
"3",484517
"3",484520
"1",484524
"1",484525
"1",484526
"1",484527
"1",484528
"1",484529
"1",484530
"1",484531
"1",484532
"1",484533
"2",484535
"1",484537
"1",484538
"3",484540
"1",484543
"2",484544
"1",484546
"1",484547
"1",484548
"1",484549
"1",484550
"1",484551
"1",484553
"1",484554
"1",484555
"1",484556
"1",484557
"1",484558
"1",484559
"1",484560
"1",484561
"1",484562
"1",484563
"1",484564
"1",484565
"1",484566
"1",484567
"1",484568
"1",484569
"1",484570
"1",484571
"1",484572
"1",484573
"2",484574
"1",484576
"1",484577
"1",484578
"1",484579
"1",484580
"1",484581
"2",484582
"1",484584
"2",484585
"1",484587
"1",484590
"1",484591
"4",484592
"1",484597
"1",484598
"1",484600
"2",484601
"4",484604
"1",484605
"2",484606
"2",484608
"1",484610
"1",484611
"1",484613
"1",484615
"1",484616
"1",484617
"1",484618
"3",484619
"1",484620
"4",484621
"3",484622
"4",484627
"34",484628
"1",484632
"1",484633
"1",484634
"2",484635
"2",484637
"1",484639
"4",484640
"1",484644
"1",484645
"1",484647
"2",484648
"1",484650
"1",484651
"2",484652
"1",484654
"1",484655
"6",484659
"3",484660
"1",484695
"1",484696
"1",484698
"1",484699
"1",484701
"1",484702
"1",484703
"2",484704
"1",484706
"2",484707
"2",484708
"1",484712
"3",484714
"1",484715
"1",484717
"1",484718
"1",484719
"1",484720
"1",484721
"2",484722
"2",484724
"1",484728
"1",484729
"4",484730
"1",484734
"1",484735
"2",484737
"1",484739
"1",484740
"1",484741
"1",484742
"1",484743
"1",484745
"1",484746
"1",484748
"1",484749
"2",484750
"1",484752
"1",484753
"2",484754
"1",484756
"2",484757
"1",484759
"1",484761
"1",484762
"1",484763
"1",484764
"1",484765
"1",484766
"2",484767
"1",484769
"1",484770
"1",484771
"1",484772
"2",484773
"1",484775
"1",484776
"1",484777
"1",484778
"1",484779
"1",484780
"1",484781
"1",484782
"1",484783
"1",484784
"1",484785
"1",484786
"1",484787
"1",484788
"1",484790
"1",484791
"1",484792
"1",484793
"1",484794
"1",484795
"1",484796
"1",484797
"2",484798
"1",484800
"1",484801
"3",484802
"1",484805
"1",484806
"1",484807
"1",484808
"5",484809
"1",484814
"1",484815
"1",484816
"1",484817
"1",484818
"1",484819
"2",484820
"1",484822
"2",484823
"1",484825
"1",484826
"1",484827
"2",484828
"1",484830
"1",484831
"1",484832
"1",484833
"2",484834
"1",484836
"2",484837
"3",484838
"3",484841
"1",484844
"1",484845
"1",484846
"1",484847
"1",484848
"1",484849
"1",484850
"1",484851
"1",484852
"2",484853
"1",484855
"1",484856
"2",484857
"2",484859
"1",484861
"4",484862
"1",484863
"1",484864
"1",484865
"1",484866
"1",484867
"1",484868
"1",484869
"1",484870
"1",484873
"1",484874
"5",484875
"1",484877
"1",484878
"1",484880
"1",484881
"2",484883
"1",484885
"1",484886
"1",484887
"1",484888
"2",484889
"1",484891
"1",484892
"1",484893
"1",484894
"1",484895
"2",484896
"2",484898
"1",484900
"1",484901
"1",484902
