old_cluster_id,uuid,new_cluster_id
3090082,,
2306686,,
3089510,,
3089351,,
3478830,14669-C-1731267-20201118,
3500672,14669-B-1731545-20190923,
144848,14669-A-1732471-19990512,150573
520590,3938-A-2981780-19990817,544158
818721,8259-A-2446677-19991210,856418
1692236,5051-A-546760-19990826,1768526
2940823,17488-A-3928302-20010329,3068036
3697511,4753-A-373706-20000419,3849471
38771,1626-A-424033-20000831,39939
483568,2480-A-52735-20010321,505779
818727,5474-A-228446-20000511,856424
901232,4062-A-156291-20011227,941343
1242599,5816-A-1591634-20010517,1295837
2301571,8259-A-2446850-20010223,2403832
37307,4011-A-5342282-20020130,38435
98495,15708-A-4421130-20020707,103057
101844,8838-A-5614386-20030606,106520
275163,8532-A-5375017-20020614,287545
500071,882-A-1061555-20031001,522642
555524,882-A-1061811-20030630,580877
634083,15708-A-4415352-20021022,663446
675612,882-A-1060793-20021001,706869
818716,8259-A-2447393-20020228,856415
1538641,882-A-1060892-20021031,1607435
1622216,20666-A-543277-20030328,1695021
2504815,882-A-1061794-20030630,2615585
2864209,20216-A-8243647-20030728,2973356
99645,10508-A-3267329-20050608,104243
302005,5816-A-1598967-20050513,316018
850171,784-A-6034142-20051110,888901
1318904,1572-A-4650603-20050630,1376310
1308607,26787-A-5925129-20041021,1365625
1637734,1572-A-4650624-20050331,1711341
1660771,11709-A-5270454-20051006,1735155
1933460,19545-A-2627406-20040306,2019278
2307458,19545-A-2627404-20040306,2409869
2920390,2989-A-918480-20070801,3050017
64848,18880-A-2526718-20060410,67365
275162,5300-A-2965295-20070703,287544
588211,11660-A-12558666-20071121,615262
803822,15710-A-12378615-20070626,840322
1006026,388-A-12047947-20070518,1049705
1172522,19623-A-12384867-20070614,1221225
1297014,1626-A-425800-20070921,1353717
1379531,8843-A-6557581-20070123,1439710
1745495,9898-A-11057466-20071102,1822512
1922998,10672-A-12188999-20070406,2008358
2169176,18821-A-11335767-20070919,2266573
2532133,19545-A-2629665-20070815,2644597
